,0
0,34132.31133088788
1,34127.21164560308
2,34093.827179236425
3,34095.11682919003
4,34096.11598325813
5,34104.18583997381
6,34143.08759709152
7,34179.018289571424
8,34154.2627410223
9,34138.52466673561
10,34193.02863289263
11,34187.0531759067
12,34176.99140733473
13,34169.276923862846
14,34154.225359817894
15,34125.1465638881
16,34084.33221674002
17,34113.73269767799
18,34141.22593913049
19,34153.69489238963
20,34181.10976314118
21,34197.9887581976
22,34164.69684201103
23,34171.21422388707
24,34218.86652148773
25,34186.64592871705
26,34183.90069548969
27,34216.1449573832
28,34218.31354488103
29,34217.474203041886
30,34220.7919197674
31,34248.291282839855
32,34253.8576098437
33,34221.024738881904
34,34180.22413983118
35,34102.47377232346
36,34179.04372042198
37,34155.60593457742
38,34172.03471068783
39,34138.53754995053
40,34191.788226779296
41,34143.6646546443
42,34109.30006869766
43,34101.29484956951
44,34055.56321845458
45,34050.42617803358
46,34023.037483081
47,34008.9315198019
48,34001.918503777226
49,33969.5257582421
50,33893.31729572566
51,33996.264519694094
52,33942.32770687309
53,33956.98535753378
54,33865.504367914706
55,33887.94859445206
56,33924.86404122967
57,33874.249216218814
58,33927.378706509066
59,33926.22221237549
60,33945.21771579928
61,33971.27753853365
62,33972.56076747938
63,33948.17967625424
64,34006.763345810454
65,33971.07445284246
66,33977.45358064786
67,33947.55962654057
68,33940.318902488754
69,34013.16929941956
70,33987.166768518975
71,33990.31458531963
72,33956.7355194424
73,33974.02599585468
74,33909.010962180706
75,33888.54676815988
76,33870.45773117869
77,33819.307746779115
78,33843.12137758679
79,33858.55980291943
80,33833.46156660099
81,33808.5259746863
82,33900.24884925045
83,33891.33436233962
84,33875.349271258725
85,33818.78761228935
86,33779.38577832727
87,33805.736355022724
88,33812.33335344677
89,33840.490438016146
90,33842.01813715298
91,33845.21506906729
92,33825.030902377184
93,33844.612339415515
94,33871.676861136686
95,33842.035666327596
96,33880.467597532974
97,33943.9732204205
98,33865.548144701774
99,33953.69550451251
100,33980.59769768315
101,34001.37568731153
102,34002.07023239071
103,34000.07192078117
104,33989.76289311134
105,33952.54397394318
106,34005.20336057326
107,33965.142449025196
108,33971.312729048615
109,33939.456342384816
110,33911.51596766537
111,33910.41799473738
112,33991.813507126855
113,33976.81601438285
114,33951.27734655507
115,33908.6538286012
116,33957.03109447701
117,33911.78579736747
118,33960.914811578674
119,33933.919322767164
120,33934.97620930436
121,33983.964254773804
122,33973.52810386756
123,33926.717551294496
124,33894.63802509285
125,33876.02670511203
126,33834.81732790319
127,33836.60779525058
128,33815.35172445029
129,33845.973640067954
130,33824.46746747791
131,33763.709245166334
132,33771.250831449135
133,33782.22102817222
134,33793.09088422877
135,33826.85845632725
136,33828.00390673623
137,33822.8820230821
138,33743.181766956935
139,33761.368552054875
140,33811.60968536784
141,33788.48285294925
142,33764.21517108336
143,33719.7353615701
144,33712.49001671024
145,33670.36721547491
146,33541.72738578584
147,33526.94462591381
148,33467.41256326424
149,33461.905423045646
150,33466.56937295191
151,33421.25621028782
152,33445.65622912404
153,33477.45281522227
154,33467.72521544789
155,33451.520383553114
156,33454.7382671225
157,33441.01335958656
158,33475.5543901473
159,33365.87273594701
160,33371.646163372796
161,33388.54802226469
162,33439.43862777321
163,33476.515751851824
164,33470.66494523945
165,33506.071515490665
166,33460.649790298296
167,33470.53519178119
168,33560.734973219885
169,33536.38701023297
170,33508.937218355124
171,33530.53449031389
172,33566.60685540754
173,33592.426022149906
174,33543.33804282206
175,33564.75410553454
176,33546.76730344532
177,33503.44251986682
178,33539.27543840808
179,33517.578196404116
180,33506.48761591818
181,33576.23709666946
182,33567.30233098955
183,33584.172348120715
184,33581.19850325126
185,33516.523119458834
186,33533.46418184208
187,33482.394728425614
188,33499.061498794596
189,33503.64962943147
190,33477.92640794962
191,33508.59405376056
192,33505.02165369601
193,33526.8444687721
194,33605.4820126681
195,33615.21481850313
196,33634.56587819829
197,33612.989142018865
198,33639.982962221264
199,33621.21782453095
200,33654.7217142906
201,33608.33634629722
202,33625.26698244621
203,33647.797229973155
204,33578.57639682379
205,33615.97742784241
206,33612.653214815364
207,33548.39434533047
208,33487.88575410164
209,33416.44710527227
210,33492.72782224094
211,33501.22275880162
212,33500.5211398542
213,33529.965079627276
214,33551.415953385454
215,33555.595550359445
216,33539.20818098921
217,33590.82586635523
218,33602.54099374328
219,33608.81464691587
220,33579.59545146229
221,33538.86062075972
222,33569.70017898071
223,33554.093841673675
224,33550.167787332655
