,0
0,34704.9275437351
1,34782.82698251559
2,34749.97526292896
3,34743.90542851167
4,34568.074092090086
5,34701.9875431739
6,34692.788702544625
7,34691.088308139326
8,34738.667486771
9,34671.0193316177
10,34618.78329511167
11,34722.18699480852
12,34644.84873979373
13,34721.88648730276
14,34892.787436467144
15,34938.18021227259
16,34933.21938342386
17,34910.31168908716
18,34974.61503349069
19,35014.80692748049
20,34764.05834380441
21,34832.46682182654
22,34848.81130667866
23,34669.09956404191
24,34740.227909257796
25,34606.840064291
26,34720.031787752945
27,34752.83304423474
28,34700.93963357208
29,34798.48517344123
30,34795.67888551141
31,34804.20621716615
32,34740.67130056377
33,34966.318749178055
34,34932.67882936352
35,34849.030610940594
36,34725.26924982965
37,34599.8592774363
38,34717.47852562893
39,34683.36271236493
40,34646.73160791539
41,34869.91308214603
42,34921.939582494524
43,34925.338026963684
44,34859.46856015085
45,34824.03297106371
46,34861.632214637735
47,34829.597642038316
48,34888.33811073637
49,34951.144355469034
50,34875.370982994995
51,34947.85633998664
52,34978.0530362516
53,35079.160187994705
54,35015.67877570671
55,35047.325832331975
56,34968.57744538439
57,34986.59314490063
58,34823.33106667999
59,34823.33106667999
60,35045.13451876355
61,35070.520613263296
62,35052.23287135726
63,35046.983784064825
64,35290.78920031275
65,35274.40502516144
66,35300.18396386255
67,35336.924125957594
68,35335.737142931015
69,35220.96395356499
70,35245.76278381964
71,35150.83377475587
72,35017.055960425634
73,34954.43915844088
74,35177.1327993973
75,35151.90754035945
76,35030.08518456404
77,34995.96341315886
78,35050.53526904502
79,35040.49089574794
80,35193.30235639095
81,35170.97072876971
82,35254.80100252906
83,35337.90869427213
84,35380.36838927337
85,35373.041757067265
86,35343.734042186894
87,35424.288432650486
88,35359.15001737896
89,35358.03821179976
90,35201.4576502459
91,35350.67933804167
92,35374.00081931619
93,35124.25659982287
94,35204.540889313575
95,35004.945962858474
96,35230.49301370401
97,35247.7169447224
98,35029.03222676831
99,34982.68844079526
100,35013.75744224914
101,35060.53403163837
102,35173.737291094316
103,34964.021814136795
104,34983.52566235425
105,34942.41407699575
106,34946.62254111835
107,34923.07677182086
108,35006.084796859854
109,34992.36398847475
110,34701.28653511396
111,34999.8011879838
112,35007.83101701759
113,34907.438758252
114,34908.62231392336
115,34702.821234738345
116,34529.70518903544
117,34734.55737044892
118,34732.26696324481
119,34719.0298852542
120,34853.109106504155
121,34827.026121714254
122,34823.810534483746
123,34847.590642135634
124,34895.105722787586
125,34962.525897219406
126,35042.73883222906
127,34890.95932733119
128,35003.587539731525
129,35044.263716737216
130,35046.83578627506
131,34920.063154165386
132,34946.218979493104
133,34911.009831307485
134,34967.220934946556
135,35066.634034902614
136,35067.88540133349
137,35195.48900994768
138,35128.83151930246
139,35078.91065339893
140,35044.99568367495
141,35052.724693248194
