,0
0,34273.98595139964
1,34245.33706367632
2,34265.00606522335
3,34245.102911148264
4,34231.794740319005
5,34226.62644698555
6,34243.02105435171
7,34186.15740035895
8,34240.392694710776
9,34259.329825661865
10,34269.238899256474
11,34275.74590851331
12,34282.93793165328
13,34312.49572878501
14,34326.984735986785
15,34282.69694977304
16,34360.735511169914
17,34352.32063444763
18,34381.444491120834
19,34409.536309825686
20,34442.581049206856
21,34459.97394458935
22,34365.25821378992
23,34456.13588870528
24,34365.16034548103
25,34404.82760739139
26,34334.02406293948
27,34275.49690432413
28,34285.80137378402
29,34314.57580931488
30,34248.03098051227
31,34193.09690427697
32,34132.630235597186
33,34152.133264087366
34,34095.56354793332
35,34144.309062243534
36,34146.772980965514
37,34170.53668572785
38,34126.021459678115
39,34142.95803926223
40,34117.79676086167
41,34108.08386678423
42,34125.63719601729
43,34129.096110478684
44,34121.421031967235
45,34118.62465436377
46,34126.52821067137
47,34144.441448642436
48,34082.88305727484
49,34126.33661864155
50,34141.49896280293
51,34145.288929265254
52,34152.93863571537
53,34143.363058451294
54,34132.52326941125
55,34142.835615253214
56,34167.76843761135
57,34199.15901081122
58,34178.53303729599
59,34205.31444048181
60,34165.16847795336
61,34126.950738276566
62,34171.43652411013
63,34140.68277163056
64,34159.05424848729
65,34119.32975311733
66,34129.412375866996
67,34178.46529308587
68,34156.36857818994
69,34144.894843381946
70,34088.841052701566
71,34015.80060973263
72,34066.439105940146
73,34047.219638414324
74,34060.50911042413
75,34028.29338152283
76,34033.934478287956
77,34072.379811391205
78,34072.974433627736
79,34019.73727060243
80,33996.51804992062
81,34019.90037630988
82,33947.31714802455
83,33965.86696200092
84,33961.03663998896
85,33971.94611288021
86,33966.15073830409
87,33954.15430300353
88,34004.341069854294
89,33936.445779569935
90,33967.19857276765
91,33935.165711727845
92,33912.49607860315
93,33949.63322327272
94,33952.53112821594
95,33917.027805558326
96,33912.54598821739
97,33901.019256121326
98,33882.74782969991
99,33869.61250365195
100,33832.86552418968
101,33790.225848930204
102,33757.44556102806
103,33784.737691674694
104,33767.976516156
105,33782.49080682855
106,33805.977794486214
107,33767.80410336975
108,33741.64914178375
109,33663.791682597104
110,33768.54895373822
111,33670.937060356395
112,33748.370291790685
113,33714.137843582175
114,33749.80131721755
115,33732.42600705699
116,33671.807218845206
117,33795.11639762128
118,33772.493570581784
119,33694.04221422342
120,33701.53194431362
121,33658.102730862025
122,33691.18775663352
123,33663.47455641637
124,33627.096331399014
125,33605.50884157024
126,33544.129249104335
127,33571.09058115758
128,33695.548465387816
129,33709.31088762726
130,33665.59623137729
131,33693.19434626088
132,33666.186739568984
133,33655.15843644134
134,33631.85759647718
135,33614.25255679636
136,33605.005278105105
137,33604.40502237204
138,33612.482184549095
139,33555.541511080606
140,33561.81546042487
