,0
0,34273.839470977386
1,34288.592399971334
2,34224.059685782435
3,34225.068381347824
4,34226.19583034412
5,34251.86637678739
6,34248.256981877545
7,34227.61826828266
8,34222.45434003166
9,34204.78171462004
10,34205.02377617053
11,34227.10487952684
12,34231.3463745086
13,34312.135409864
14,34290.84871541287
15,34327.88484425753
16,34313.515632698385
17,34296.25198969254
18,34343.42741586174
19,34312.088664350435
20,34314.51639532753
21,34312.06721599806
22,34281.47891785583
23,34296.52902381333
24,34279.97306343187
25,34278.761915386225
26,34263.44444658233
27,34277.34293289047
28,34272.36459202612
29,34370.426598927355
30,34367.70672967744
31,34319.04453899634
32,34360.249597102236
33,34363.76040881943
34,34392.493303195
35,34374.51114592799
36,34354.33745029409
37,34319.768948436824
38,34340.09459821535
39,34344.59829685654
40,34302.57325983593
41,34379.480420404885
42,34357.32906377459
43,34335.1215170069
44,34407.509239735584
45,34422.50147428161
46,34480.53543351051
47,34407.34517194991
48,34476.72682388072
49,34491.65832112848
50,34405.06137424241
51,34440.27219862315
52,34433.53202272377
53,34479.65067928681
54,34495.35869836328
55,34448.02707722204
56,34472.78529566885
57,34463.2609741916
58,34478.33045858257
59,34474.08910843295
60,34536.95624354946
61,34531.83342923422
62,34506.9965381661
63,34524.32317552577
64,34558.65385903557
65,34636.69006153277
66,34612.65809487914
67,34596.02911083775
68,34595.333987040176
69,34586.984041859614
70,34582.44704355435
71,34616.92493034956
72,34605.916791987765
73,34511.37666180123
74,34586.863885383624
75,34524.21508159697
76,34483.644602463784
77,34465.092053812186
78,34446.997123222405
79,34465.470124602194
80,34499.81619230671
81,34509.69470109727
82,34475.76858531668
83,34420.5576214978
84,34500.28723713955
85,34479.08740759425
86,34456.5683032204
87,34454.07857698948
88,34456.97757891252
89,34438.21213428631
90,34454.58890489452
91,34438.98098504964
92,34441.9897211356
93,34439.30865577174
94,34486.37947112324
95,34428.316037339675
96,34510.15016351448
97,34508.408207045184
98,34499.27568455528
99,34482.842731152734
100,34490.551081673126
101,34472.09155206511
102,34436.09973513351
103,34472.524848772344
104,34466.572836345724
105,34490.07822198459
106,34516.58393043731
107,34456.90376542778
108,34457.696038014445
109,34464.38278476514
110,34434.56634460173
111,34486.417744275095
112,34499.95695699168
113,34484.32587071532
114,34476.307975815595
115,34455.816405878824
116,34504.87095462888
117,34552.229972332985
118,34489.60974084553
119,34563.09789239289
120,34581.698443858644
121,34580.0542511215
122,34580.034324880224
123,34605.5060945719
124,34652.14494568984
125,34628.46075721388
126,34689.81922547956
127,34669.56799385269
128,34629.16313059062
129,34701.9718574146
130,34727.37145129205
131,34707.63597666619
132,34684.254236777786
133,34664.06145330108
134,34714.20258616148
135,34658.26326138101
136,34675.352349509674
137,34646.501661874354
138,34701.44677356492
139,34724.72991746718
140,34701.576408873014
141,34699.25256705652
142,34688.92189164887
143,34722.71208833649
144,34672.99653103374
145,34715.58741681972
146,34719.96950241434
147,34761.06398787489
148,34757.56625417853
149,34650.3640525972
150,34680.60596310575
151,34662.30234323673
152,34653.39122119743
153,34631.68165741458
154,34671.675688128315
155,34609.700050290994
156,34612.44600672398
157,34597.33758938998
158,34572.7880206456
159,34596.718395799246
160,34573.427744221364
161,34572.84375487114
162,34588.51589675255
163,34537.943718111856
164,34516.48556270382
165,34478.33354954226
166,34444.74980645016
167,34436.41496027286
168,34454.300179742546
169,34378.91406821691
170,34362.687088253544
171,34314.60526114838
172,34341.51658245742
173,34362.03501985797
