,0
0,34989.78711026917
1,34989.78711026917
2,34976.86817368563
3,34950.186232172106
4,35135.77928871696
5,35143.24596044804
6,35112.184590260134
7,35180.96056459325
8,35190.8525526451
9,35228.644376034776
10,35183.88110892224
11,35460.84757655581
12,35522.27005747611
13,35520.3851090035
14,35514.902719480844
15,35640.97302373501
16,35666.99342488534
17,35397.64211739201
18,35668.780743627656
19,35653.054361134185
20,35675.67623569251
21,35682.86920115979
22,35582.53536543234
23,35352.286196524015
24,35314.43484867053
25,35243.50154093179
26,35180.59720810015
27,35103.32366120427
28,35100.35704904379
29,34903.169532279004
30,34977.2389611479
31,35063.47390499411
32,35119.102020779916
33,35120.17506860781
34,35130.67498485693
35,35142.72195986335
36,35080.50217215397
37,35127.36052156662
38,34987.5979182612
39,35027.35563860774
40,35041.82046667725
41,35001.85708573327
42,35037.84815032524
43,35073.17418121768
44,35087.54993634562
45,34915.37064237038
46,34993.79467460631
47,34958.019883500776
48,34918.727095344686
49,34971.653209810145
50,35009.234012675326
51,35060.71071914395
52,35103.65489462338
53,35038.07262642831
54,34921.80514151489
55,35048.74755830912
56,35056.63744577073
57,35118.99244568437
58,35131.21078510925
59,35289.49703165778
60,35193.02956910043
61,35275.91412179341
62,35297.57136652716
63,35270.652283440766
64,35274.342498854996
65,35252.088598112605
66,35418.62087577174
67,35451.550341958064
68,35521.15773079387
69,35514.26778845562
70,35664.43615030532
71,35585.167328512296
72,35513.90787898266
73,35500.476917130334
74,35379.032098282114
75,35489.6074561873
76,35337.54558271539
77,35220.06224829719
78,35042.28228869491
79,35027.08858799003
80,35047.41917936353
81,34998.42953451021
82,35148.23644188145
83,35188.28462854462
84,35110.76102800791
85,35331.018130761106
86,35360.68482054257
87,35251.05671662407
88,35315.57143469216
89,35287.56231318317
90,35278.60316432692
91,35418.07438421644
92,35372.964528566736
93,35395.94682589752
94,35305.53647325731
95,35494.60431147025
96,35520.71073454937
97,35686.166582577
98,35678.94149341193
99,35645.350926881954
100,35628.59855566499
101,35436.799459579575
102,35438.910203691834
103,35453.0306662309
104,35539.62454586415
105,35441.07597361048
106,35183.90039538404
107,35403.99482230675
108,35352.94350114859
109,35453.90237544974
110,35470.75579574516
111,35394.687120591596
112,35496.23054954426
113,35509.6007295667
114,35435.56280761065
115,35500.245571877604
116,35575.85491872595
117,35755.27204557966
118,35753.00762834515
119,35560.69481255789
120,35734.00297566423
121,35843.13160709118
122,35842.53028531096
123,35786.24327051989
124,35866.412038483344
125,35808.73744976824
126,35678.9713728731
127,35914.063687889924
128,35915.99698533579
129,35905.89123002359
130,35902.30618019592
131,36185.041633954876
132,36137.84668982159
133,36193.60066203151
134,36124.26579452143
135,36169.67217852989
136,36165.01268002864
137,36130.64750803738
138,36402.193037446246
139,36379.3672158308
140,36395.96550055341
141,36207.57237365811
142,36304.44418481459
143,36436.504425542764
144,36395.66103658283
145,36349.60119974971
146,36483.26067878374
147,36487.1937202994
148,36425.634203059526
149,36317.01872545824
150,36185.02743550557
151,36313.69011444162
152,36313.69011444162
153,36507.93709186565
154,36539.57719556137
155,36550.89239325879
156,36525.872563918325
157,36438.54925821361
158,36368.16904540373
159,36155.35151724541
160,36097.249295592206
161,35983.95006157845
162,36097.3739517557
163,36018.56419999432
164,36036.26236047311
165,35905.91636647175
166,35874.93543479361
167,35847.146283452734
168,35971.21736765765
169,36013.7640505961
170,35923.356911417926
171,35965.05750115523
172,36015.4908558796
173,36035.62257344053
174,35943.970212792585
175,36010.129168704676
176,35928.97227546514
177,36007.876013256246
178,36051.8842127771
179,36049.05366208608
180,35843.11591661052
181,35877.829027678294
182,35860.50225256686
183,36056.27488095024
184,36074.65099503249
185,35896.75909273289
186,35784.03251257773
187,35692.29436024139
188,35597.6828133674
189,35549.25850373604
190,35537.91699714336
191,35295.88438700885
192,35457.48895064301
193,35382.13980409345
194,35390.35482698838
195,35505.78702030889
196,35507.04847186626
197,35501.605714844205
198,35449.06004071986
199,35488.18007133358
200,35549.05381982247
201,35654.973781930516
202,35633.53445258223
203,35869.10409552467
204,35879.82721063074
205,35920.30776308319
206,35932.95314134781
207,35933.78177042534
208,35760.22745128596
209,36045.873906736786
210,36034.12780002503
211,36011.76834825783
212,35818.20753910464
213,35832.78807285895
214,35789.74187477882
215,35792.12422834062
216,35783.99429356707
217,35794.77336288223
218,35812.194133535246
219,35723.91923849685
220,35747.897339478164
221,35578.038697585536
222,35409.25451796589
223,35225.46711171309
224,35225.95267587296
225,35297.9422873216
226,35254.49567636332
227,35313.967055057336
228,35312.269498356975
229,35221.806953980755
230,35270.86757926221
231,35239.61124204408
232,35321.751355443186
233,35203.520436547435
234,35281.82089135468
235,35072.77603119657
236,35004.22564614406
237,34670.66270087059
238,35003.76556613785
239,35001.70447897253
240,35002.838392931575
241,34876.54498973632
242,34904.19553056601
243,34782.59331496472
244,34794.198798965444
245,34632.27536592228
246,34603.74134742454
247,34620.88637284551
248,34634.858943094274
249,34478.78931972034
250,34428.3511019608
251,34516.10728314513
252,34409.61601488828
253,34395.60301981287
254,34351.549216036256
255,34409.103770719244
256,34214.64293732825
257,34297.297717015696
258,34293.76798148113
259,34194.26210644063
260,34307.3408880313
261,34234.03744907904
262,34172.72275688658
263,34030.82839491201
264,34095.66503365733
265,34191.856881047475
266,34119.6643281179
267,33917.46103242104
268,33863.81633942923
269,33693.274870805064
270,33779.39779714422
271,33808.939895063784
272,33717.16855322168
273,33702.02527434965
274,33816.15459182306
275,33797.77545824753
276,33914.7120056198
277,33870.37564936392
278,33796.54898182354
279,33796.54898182354
280,33653.182656079705
281,33703.3493579733
282,33766.168603279926
283,33801.36206158294
284,33756.22708834971
285,34000.4471204033
286,33987.869524223366
287,33911.538227300945
288,33840.0209092111
289,33707.80995412785
290,33841.64309892153
291,33825.10973861761
292,33825.10973861761
293,33783.610371183604
294,33847.91157778861
295,33884.899666572615
296,33911.1887069255
297,33971.32086808192
298,34007.644760768
299,34012.14891466316
300,33991.42041188794
301,33998.344104456286
302,33828.74166493309
303,33844.8805012316
304,33572.63432775029
305,33572.63432775029
306,33861.18047226437
307,33837.78794957256
308,33897.011312002
309,33892.80983161369
310,33897.02180949009
311,33859.04457912049
312,33888.24892363756
313,33841.72715543383
314,33827.315501106066
315,33811.454431409686
316,33702.383376385085
317,33741.00918042738
318,33642.46197207206
319,33824.944744198234
320,33766.6126753265
321,33830.602178143185
322,33863.8613011977
323,33666.073717769745
324,33666.073717769745
325,33666.51219941603
326,33587.32665175301
327,33595.384754367784
328,33569.748814721665
329,33578.400749941226
330,33661.559001451555
331,33680.75448509866
332,33660.41066584675
333,33356.373208095785
334,33479.77816288959
335,33534.854074904935
336,33498.65875713728
337,33498.65875713728
338,33638.452194999234
339,33586.20153450741
340,33618.481581874235
341,33647.38112397206
342,33587.081936374125
343,33800.26747444205
344,33693.18477955324
345,33693.18477955324
346,33452.80399479065
347,33591.077945350866
348,33468.565056661966
349,33543.69688860161
350,33677.147962477226
351,33663.78074963477
352,33402.64190080484
353,33589.36486625159
354,33577.731036405065
355,33453.52818858321
356,33452.01572597389
357,33187.49367033185
358,33246.63803450829
359,32867.67485216429
360,33068.61387014
361,33003.775113280506
362,33065.804616158
363,33152.793269002854
364,33166.66487348117
365,33107.65988488462
366,33154.47825143361
367,33294.20172828574
368,33319.49645806457
369,33232.30850810686
370,33346.89253384182
371,33341.791345766775
372,33178.62498683081
373,33311.59176236452
374,33372.6537370782
375,33156.14608576114
376,33382.78150485459
377,33421.93238970924
378,33483.87134263066
379,33426.18750610802
380,33445.36204796571
381,33457.25653100399
382,33278.651899678225
383,33326.72720035628
384,33323.51245804831
385,33296.40164513026
386,33466.09083522843
387,33474.13451991652
388,33148.406180259975
389,33450.572349949056
390,33476.568084380306
391,33426.380782823166
392,33465.37642538601
393,33508.40231479309
