,Means
0,32658.582210801556
1,32631.045313598417
2,32544.09093250677
3,32371.039550021876
4,32490.255021407473
5,32486.965490483304
6,32484.87700519307
7,32503.365533765536
8,32587.714351687817
9,32549.140018521466
10,32490.025925796686
11,32606.8781258498
12,32677.939360779485
13,32706.652827801467
14,32707.06435428808
15,32775.74230300719
16,32792.832086161376
17,32663.73876616474
18,32666.82581689175
19,32653.814605689495
20,32803.49923350559
21,32806.836399199216
22,32720.779693740158
23,32698.43331171687
24,32577.06853534029
25,32551.91145190187
26,32586.566527293784
27,32573.694683902468
28,32566.84845876794
29,32708.170766689516
30,32660.715566345763
31,32612.245235596834
32,32680.951579409102
33,32713.969752196143
34,32820.79562109533
35,32832.94357998055
36,32859.622592055144
37,32851.67630782979
38,32835.26451361661
39,32822.47586617802
40,32767.30932519921
41,32859.535422680085
42,32882.754522158364
43,32943.11216820038
44,32958.47922126737
45,32941.58746039197
46,32983.13528054914
47,32983.13528054914
48,33107.63834698722
49,33071.42662470011
50,33104.10360736285
51,33062.32820666749
52,33097.29342846839
53,33203.249326619385
54,33201.86533346595
55,33210.07072609052
56,33354.33317718045
57,33383.41985906555
58,33357.494107093815
59,33209.507905495324
60,33356.23070693185
61,33333.155634561364
62,33428.93896712332
63,33445.7538954524
64,33355.39846453117
65,33538.562123833755
66,33555.15151805326
67,33394.95708375248
68,33519.58863978493
69,33477.69434055517
70,33591.20051208543
71,33586.333351366084
72,33468.15482047832
73,33468.45045264614
74,33296.77971779151
75,33445.154615998865
76,33462.95069650107
77,33585.86797367755
78,33529.05003362319
79,33590.321304056604
80,33594.47092444169
81,33607.094421689144
82,33737.282305064495
83,33665.48477303583
84,33739.62770674457
85,33744.19044547783
86,33782.7065037364
87,33765.71859426396
88,33807.0712855326
89,33704.0071972108
90,33743.08275133716
91,33753.57125504005
92,33699.48186246524
93,33901.254207733786
94,33904.56625830639
95,33849.46098951352
96,34047.77459744911
97,34046.09273310815
98,34186.81453017738
99,34186.72396651384
100,34265.823100979294
101,34263.97011811304
102,34253.32610844039
103,34292.96096499603
104,34086.70275450213
105,34214.62432225404
106,34186.527533708184
107,34086.66319349932
108,34248.15184638082
109,34242.73085081436
110,34090.61535806363
111,34135.94764197276
112,34132.77877347397
113,34088.56543876462
114,34118.24754077304
115,34112.66382809044
116,34128.50700981126
117,34130.34062865809
118,33970.711439879495
119,34106.65875876772
120,34087.19973194481
121,34076.555207966565
122,34154.729178151225
123,34142.03172656398
124,34203.37549566035
125,34250.57536765734
126,34359.708630143024
127,34276.20453642593
128,34242.63409683048
129,34225.54471903266
130,34112.18710754873
131,34157.2684292504
132,34097.9610592572
133,34128.09755110651
134,34027.285220303114
135,34095.66134489121
136,34092.50083962337
137,34084.20237672057
138,34360.71494479428
139,34334.484250401874
140,34270.96809222065
141,34340.87759269023
142,34333.870412791366
143,34432.714673724004
144,34426.54070763027
145,34441.43135381035
146,34446.44661938158
147,34557.34059231627
148,34580.690423672895
149,34528.10433828374
150,34542.614364978814
151,34555.5926839623
152,34515.52284814332
153,34466.699980567326
154,34456.21562343654
155,34514.37835324159
156,34519.74584272795
157,34333.371419776726
158,34533.75657916254
159,34555.997875018904
160,34702.33272951997
161,34716.32396864334
162,34716.36748039176
163,34765.04193759011
164,34814.310114824
165,34751.0380051744
166,34869.403726946344
167,34848.550693755256
168,34826.400354626174
169,34706.60008192146
170,34707.7255382769
171,34479.662655898705
172,34522.01495154094
173,34548.4294988972
174,34616.66857835899
175,34554.15029353542
176,34391.99940760122
177,34556.63215479517
178,34576.49736780899
179,34773.18254848552
180,34831.71936333194
181,34798.671763846025
182,34785.59762117622
183,34772.664532743824
184,34576.04637536427
185,34576.04637536427
186,34665.688150562564
187,34758.04668073216
188,34776.42187155723
189,34665.25534811709
190,34775.69727410795
191,34912.086403900306
192,34905.299801458736
193,35004.009273731164
194,35012.29017934986
195,35013.60102884668
196,35016.06040927571
197,35071.36868832452
198,35095.72317867668
199,35062.455903701426
200,34963.57980953182
201,34959.244520077875
202,34967.467802296844
203,35029.51208335927
204,35071.35661764986
205,35114.633279417874
206,35098.4905953227
207,35109.3759503785
208,34959.07851235852
209,35044.85069607825
210,35128.55630475414
211,35142.205574441075
212,35133.206394643275
213,35281.25456285091
214,35111.521536952874
215,35077.06221361655
216,34982.61112507234
217,35099.62470434788
218,35304.191825579626
219,35302.82766747699
220,35424.96838018914
221,35433.16241877068
222,35557.73502119329
223,35563.8280810288
224,35433.87729482117
225,35442.353231391
226,35362.46358511003
227,35470.75716408824
228,35470.588058732115
229,35362.5664307898
230,35444.68559015496
231,35434.06467458872
232,35524.163963039355
233,35638.979277271064
234,35618.40299996845
235,35476.690135722674
236,35242.19169020696
237,35369.92921974543
238,35369.41268290709
239,35286.76976707399
240,35216.66261310298
241,35263.86233380147
242,35377.57842397435
243,35412.84283579151
244,35394.23358045941
245,35285.14957953599
246,35314.096815796154
247,35234.27826023943
248,35354.334192125505
249,35435.26870753021
250,35417.8984176973
251,35408.27652472899
252,35486.01510990932
253,35488.596958948634
254,35377.63264973655
255,35301.7636787619
256,35352.380747670046
257,35233.343172023
258,35316.22373390956
259,35223.55487450792
260,35104.320788613615
261,35292.66382616591
262,35277.81770913866
263,35207.79875820642
264,35103.254959434125
265,35124.73737607337
266,35006.86676553165
267,35041.2447456613
268,35150.24567027805
269,35145.40870015578
270,35126.2801755885
271,35160.4972236314
272,35174.35981037695
273,35234.952804370616
274,35149.565743494284
275,35027.68033621131
276,34955.46302480367
277,34835.32211563522
278,34796.252677162076
279,34791.38398315142
280,34789.85055520558
281,34760.48804916904
282,34789.8518408449
283,34908.98709003143
284,34991.89914400244
285,34974.668975230925
286,34929.411246829055
287,35030.52324858698
288,35136.01151030833
